type;price;kamar_tidur;luas_tanah;luas_bangunan;sertifikasi;area;region
Rumah Second;380.0;2.0;77.0;42.0;SHM;Kalasan; Kab. Sleman
Rumah Second;11.0;3.0;132.0;90.0;SHM;Kalasan; Kab. Sleman
Rumah Second;960.0;3.0;85.0;80.0;SHM;Kasihan; Kab. Bantul
Rumah Second;480.0;2.0;97.0;52.0;SHM;Prambanan; Kab. Sleman
Rumah Second;35.0;3.0;392.0;150.0;SHM;Panjatan; Kab. Kulon Progo
Rumah Second;11.0;3.0;865.0;225.0;SHM;Pengasih; Kab. Kulon Progo
Rumah Second;12.0;4.0;207.0;160.0;SHM;Kalasan; Kab. Sleman
Rumah Second;579.0;2.0;84.0;46.0;SHM;Berbah; Kab. Sleman
Rumah Second;424.0;2.0;73.0;40.0;SHM;Banguntapan; Kab. Bantul
Rumah Second;510.0;3.0;105.0;60.0;SHM;Pleret; Kab. Bantul
Rumah Second;535.0;2.0;80.0;36.0;SHM;Sleman; Kab. Sleman
Rumah Second;14.0;3.0;108.0;130.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;330.0;2.0;78.0;50.0;SHM;Piyungan; Kab. Bantul
Rumah Second;17.0;3.0;140.0;125.0;SHM;Depok; Kab. Sleman
Rumah Second;330.0;2.0;151.0;62.0;SHM;Sedayu; Kab. Bantul
Rumah Second;22.0;5.0;188.0;300.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;850.0;3.0;120.0;80.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;16.0;3.0;147.0;110.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;14.0;3.0;150.0;160.0;HGB;Ngemplak; Kab. Sleman
Rumah Second;850.0;3.0;80.0;70.0;SHM;Depok; Kab. Sleman
Rumah Second;22.0;5.0;182.0;177.0;SHM;Kalasan; Kab. Sleman
Rumah Second;975.0;4.0;107.0;105.0;SHM;Ngemplak; Kab. Sleman
Rumah Second;920.0;3.0;86.0;160.0;SHM;Banguntapan; Kab. Bantul
Rumah Second;18.0;4.0;121.0;136.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;585.0;3.0;112.0;50.0;SHM;Sleman; Kab. Sleman
Rumah Second;14.0;3.0;91.0;93.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;250.0;2.0;60.0;30.0;SHM;Pleret; Kab. Bantul
