type;price;loc;kamar_tidur;luas_tanah;luas_bangunan;sertifikasi
Rumah Second;Rp380 Jt;Kalasan, Kab. Sleman;2 KT;LT 77m²;LB 42m²;SHM
Rumah Second;Rp1,1 M;Kalasan, Kab. Sleman;3 KT;LT 132m²;LB 90m²;SHM
Rumah Second;Rp960 Jt;Kasihan, Kab. Bantul;3 KT;LT 85m²;LB 80m²;SHM
Rumah Second;Rp480 Jt;Prambanan, Kab. Sleman;2 KT;LT 97m²;LB 52m²;SHM
Rumah Second;Rp3,5 M;Panjatan, Kab. Kulon Progo;3 KT;LT 392m²;LB 150m²;SHM
Rumah Second;Rp1,1 M;Pengasih, Kab. Kulon Progo;3 KT;LT 865m²;LB 225m²;SHM
Rumah Second;Rp1,2 M;Kalasan, Kab. Sleman;4 KT;LT 207m²;LB 160m²;SHM
Rumah Second;Rp579 Jt;Berbah, Kab. Sleman;2 KT;LT 84m²;LB 46m²;SHM
Rumah Second;Rp424 Jt;Banguntapan, Kab. Bantul;2 KT;LT 73m²;LB 40m²;SHM
Rumah Second;Rp510 Jt;Pleret, Kab. Bantul;3 KT;LT 105m²;LB 60m²;SHM
Rumah Second;Rp535 Jt;Sleman, Kab. Sleman;2 KT;LT 80m²;LB 36m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;3 KT;LT 108m²;LB 130m²;SHM
Rumah Second;Rp330 Jt;Piyungan, Kab. Bantul;2 KT;LT 78m²;LB 50m²;SHM
Rumah Second;Rp1,7 M;Depok, Kab. Sleman;3 KT;LT 140m²;LB 125m²;SHM
Rumah Second;Rp330 Jt;Sedayu, Kab. Bantul;2 KT;LT 151m²;LB 62m²;SHM
Rumah Second;Rp2,2 M;Ngaglik, Kab. Sleman;5 KT;LT 188m²;LB 300m²;SHM
Rumah Second;Rp850 Jt;Ngaglik, Kab. Sleman;3 KT;LT 120m²;LB 80m²;SHM
Rumah Second;Rp1,6 M;Ngaglik, Kab. Sleman;3 KT;LT 147m²;LB 110m²;SHM
Rumah Second;Rp1,4 M;Ngemplak, Kab. Sleman;3 KT;LT 150m²;LB 160m²;HGB
Rumah Second;Rp850 Jt;Depok, Kab. Sleman;3 KT;LT 80m²;LB 70m²;SHM
Rumah Second;Rp2,2 M;Kalasan, Kab. Sleman;5 KT;LT 182m²;LB 177m²;SHM
Rumah Second;Rp975 Jt;Ngemplak, Kab. Sleman;4 KT;LT 107m²;LB 105m²;SHM
Rumah Second;Rp920 Jt;Banguntapan, Kab. Bantul;3 KT;LT 86m²;LB 160m²;SHM
Rumah Second;Rp1,8 M;Ngaglik, Kab. Sleman;4 KT;LT 121m²;LB 136m²;SHM
Rumah Second;Rp585 Jt;Sleman, Kab. Sleman;3 KT;LT 112m²;LB 50m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;3 KT;LT 91m²;LB 93m²;SHM
Rumah Second;Rp250 Jt;Pleret, Kab. Bantul;2 KT;LT 60m²;LB 30m²;SHM
Rumah Second;Rp1,3 M;Gamping, Kab. Sleman;3 KT;LT 120m²;LB 218m²;SHM
Rumah Second;Rp815 Jt;Wates, Kab. Kulon Progo;3 KT;LT 72m²;LB 90m²;SHM
Rumah Second;Rp525 Jt;Tempel, Kab. Sleman;2 KT;LT 106m²;LB 53m²;SHM
Rumah Second;Rp2,2 M;Ngaglik, Kab. Sleman;3 KT;LT 182m²;LB 231m²;SHM
Rumah Second;Rp3,2 M;Sleman, Kab. Sleman;5 KT;LT 159m²;LB 180m²;SHM
Rumah Second;Rp413 Jt;Sedayu, Kab. Bantul;2 KT;LT 81m²;LB 40m²;SHM
Rumah Second;Rp680 Jt;Depok, Kab. Sleman;3 KT;LT 97m²;LB 65m²;SHM
Rumah Second;Rp633 Jt;Kalasan, Kab. Sleman;2 KT;LT 105m²;LB 59m²;SHM
Rumah Second;Rp850 Jt;Godean, Kab. Sleman;3 KT;LT 103m²;LB 75m²;SHM
Rumah Second;Rp574 Jt;Mlati, Kab. Sleman;2 KT;LT 131m²;LB 40m²;SHM
Rumah Second;Rp592 Jt;Gondomanan, Kota Yogyakarta;2 KT;LT 90m²;LB 36m²;SHM
Rumah Second;Rp592 Jt;Mlati, Kab. Sleman;2 KT;LT 104m²;LB 50m²;SHM
Rumah Second;Rp680 Jt;Kalasan, Kab. Sleman;2 KT;LT 97m²;LB 65m²;SHM
Rumah Second;Rp1,6 M;Depok, Kab. Sleman;3 KT;LT 111m²;LB 90m²;SHM
Rumah Second;Rp2,2 M;Kalasan, Kab. Sleman;2 KT;LT 182m²;LB 177m²;SHM
Rumah Second;Rp350 Jt;Kalasan, Kab. Sleman;2 KT;LT 80m²;LB 30m²;SHM
Rumah Second;Rp1,7 M;Tegalrejo, Kota Yogyakarta;5 KT;LT 131m²;LB 150m²;HGB
Rumah Second;Rp495 Jt;Sedayu, Kab. Bantul;2 KT;LT 84m²;LB 45m²;SHM
Rumah Second;Rp1,1 M;Gamping, Kab. Sleman;2 KT;LT 115m²;LB 50m²;SHM
Rumah Second;Rp1,1 M;Gamping, Kab. Sleman;2 KT;LT 142m²;LB 60m²;SHM
Rumah Second;Rp1,5 M;Depok, Kab. Sleman;3 KT;LT 168m²;LB 130m²;SHM
Rumah Second;Rp900 Jt;Banguntapan, Kab. Bantul;3 KT;LT 98m²;LB 100m²;SHM
Rumah Second;Rp999 Jt;Ngemplak, Kab. Sleman;4 KT;LT 103m²;LB 105m²;SHM
Rumah Second;Rp1,6 M;Kalasan, Kab. Sleman;4 KT;LT 146m²;LB 134m²;SHM
Rumah Second;Rp1,3 M;Gamping, Kab. Sleman;2 KT;LT 208m²;LB 90m²;SHM
Rumah Second;Rp1,3 M;Gamping, Kab. Sleman;5 KT;LT 227m²;LB 220m²;SHM
Rumah Second;Rp3,2 M;Sleman, Kab. Sleman;4 KT;LT 159m²;LB 180m²;HGB
Rumah Second;Rp999 Jt;Banguntapan, Kab. Bantul;3 KT;LT 101m²;LB 75m²;HGB
Rumah Second;Rp2,6 M;Berbah, Kab. Sleman;3 KT;LT 306m²;LB 145m²;SHM
Rumah Second;Rp2,8 M;Umbulharjo, Kota Yogyakarta;7 KT;LT 500m²;LB 350m²;SHM
Rumah Second;Rp390 Jt;Berbah, Kab. Sleman;2 KT;LT 82m²;LB 50m²;SHM
Rumah Second;Rp399 Jt;Banguntapan, Kab. Bantul;2 KT;LT 75m²;LB 55m²;SHM
Rumah Second;Rp1,4 M;Banguntapan, Kab. Bantul;5 KT;LT 141m²;LB 170m²;SHM
Rumah Second;Rp1 M;Depok, Kab. Sleman;2 KT;LT 85m²;LB 50m²;SHM
Rumah Second;Rp3,7 M;Mlati, Kab. Sleman;4 KT;LT 176m²;LB 146m²;HGB
Rumah Second;Rp495 Jt;Sleman, Kab. Sleman;2 KT;LT 112m²;LB 36m²;SHM
Rumah Second;Rp598 Jt;Depok, Kab. Sleman;2 KT;LT 102m²;LB 50m²;SHM
Rumah Second;Rp1,1 M;Ngemplak, Kab. Sleman;3 KT;LT 134m²;LB 90m²;SHM
Rumah Second;Rp490 Jt;Sleman, Kab. Sleman;2 KT;LT 92m²;LB 36m²;SHM
Rumah Second;Rp2,8 M;Tegalrejo, Kota Yogyakarta;3 KT;LT 192m²;LB 111m²;HGB
Rumah Second;Rp2,2 M;Gamping, Kab. Sleman;5 KT;LT 150m²;LB 336m²;HGB
Rumah Second;Rp775 Jt;Kalasan, Kab. Sleman;3 KT;LT 106m²;LB 78m²;SHM
Rumah Second;Rp357 Jt;Prambanan, Kab. Sleman;2 KT;LT 103m²;LB 36m²;SHM
Rumah Second;Rp757 Jt;Kalasan, Kab. Sleman;2 KT;LT 120m²;LB 50m²;SHM
Rumah Second;Rp175 Jt;Mergangsan, Kota Yogyakarta;2 KT;LT 67m²;LB 58m²;SHM
Rumah Second;Rp1,5 M;Kalasan, Kab. Sleman;3 KT;LT 86m²;LB 120m²;SHM
Rumah Second;Rp560,7 Jt;Kalasan, Kab. Sleman;3 KT;LT 112m²;LB 55m²;SHM
Rumah Second;Rp1,6 M;Kalasan, Kab. Sleman;4 KT;LT 137m²;LB 125m²;SHM
Rumah Second;Rp3 M;Ngemplak, Kab. Sleman;5 KT;LT 145m²;LB 225m²;SHM
Rumah Second;Rp999 Jt;Depok, Kab. Sleman;3 KT;LT 103m²;LB 100m²;SHM
Rumah Second;Rp635 Jt;Berbah, Kab. Sleman;3 KT;LT 113m²;LB 56m²;SHM
Rumah Second;Rp1,3 M;Ngaglik, Kab. Sleman;3 KT;LT 88m²;LB 120m²;SHM
Rumah Second;Rp1,2 M;Ngaglik, Kab. Sleman;3 KT;LT 146m²;LB 100m²;SHM
Rumah Second;Rp1,8 M;Ngaglik, Kab. Sleman;4 KT;LT 150m²;LB 157m²;SHM
Rumah Second;Rp2,2 M;Gamping, Kab. Sleman;5 KT;LT 150m²;LB 226m²;HGB
