type,price,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi,area,region
Rumah Second,380.0,2,77,42,SHM,Kalasan,Kab. Sleman
Rumah Second,1100.0,3,132,90,SHM,Kalasan,Kab. Sleman
Rumah Second,960.0,3,85,80,SHM,Kasihan,Kab. Bantul
Rumah Second,480.0,2,97,52,SHM,Prambanan,Kab. Sleman
Rumah Second,3500.0,3,392,150,SHM,Panjatan,Kab. Kulon Progo
Rumah Second,1100.0,3,865,225,SHM,Pengasih,Kab. Kulon Progo
Rumah Second,1200.0,4,207,160,SHM,Kalasan,Kab. Sleman
Rumah Second,579.0,2,84,46,SHM,Berbah,Kab. Sleman
Rumah Second,424.0,2,73,40,SHM,Banguntapan,Kab. Bantul
Rumah Second,510.0,3,105,60,SHM,Pleret,Kab. Bantul
Rumah Second,535.0,2,80,36,SHM,Sleman,Kab. Sleman
Rumah Second,1400.0,3,108,130,SHM,Ngaglik,Kab. Sleman
Rumah Second,330.0,2,78,50,SHM,Piyungan,Kab. Bantul
Rumah Second,1700.0,3,140,125,SHM,Depok,Kab. Sleman
Rumah Second,330.0,2,151,62,SHM,Sedayu,Kab. Bantul
Rumah Second,2200.0,5,188,300,SHM,Ngaglik,Kab. Sleman
Rumah Second,850.0,3,120,80,SHM,Ngaglik,Kab. Sleman
Rumah Second,1600.0,3,147,110,SHM,Ngaglik,Kab. Sleman
Rumah Second,1400.0,3,150,160,HGB,Ngemplak,Kab. Sleman
Rumah Second,850.0,3,80,70,SHM,Depok,Kab. Sleman
Rumah Second,2200.0,5,182,177,SHM,Kalasan,Kab. Sleman
Rumah Second,975.0,4,107,105,SHM,Ngemplak,Kab. Sleman
Rumah Second,920.0,3,86,160,SHM,Banguntapan,Kab. Bantul
Rumah Second,1800.0,4,121,136,SHM,Ngaglik,Kab. Sleman
Rumah Second,585.0,3,112,50,SHM,Sleman,Kab. Sleman
Rumah Second,1400.0,3,91,93,SHM,Ngaglik,Kab. Sleman
Rumah Second,250.0,2,60,30,SHM,Pleret,Kab. Bantul
Rumah Second,1300.0,3,120,218,SHM,Gamping,Kab. Sleman
Rumah Second,815.0,3,72,90,SHM,Wates,Kab. Kulon Progo
Rumah Second,525.0,2,106,53,SHM,Tempel,Kab. Sleman
Rumah Second,2200.0,3,182,231,SHM,Ngaglik,Kab. Sleman
Rumah Second,3200.0,5,159,180,SHM,Sleman,Kab. Sleman
Rumah Second,413.0,2,81,40,SHM,Sedayu,Kab. Bantul
Rumah Second,680.0,3,97,65,SHM,Depok,Kab. Sleman
Rumah Second,633.0,2,105,59,SHM,Kalasan,Kab. Sleman
Rumah Second,850.0,3,103,75,SHM,Godean,Kab. Sleman
Rumah Second,574.0,2,131,40,SHM,Mlati,Kab. Sleman
Rumah Second,592.0,2,90,36,SHM,Gondomanan,Kota Yogyakarta
Rumah Second,592.0,2,104,50,SHM,Mlati,Kab. Sleman
Rumah Second,680.0,2,97,65,SHM,Kalasan,Kab. Sleman
Rumah Second,1600.0,3,111,90,SHM,Depok,Kab. Sleman
Rumah Second,2200.0,2,182,177,SHM,Kalasan,Kab. Sleman
Rumah Second,350.0,2,80,30,SHM,Kalasan,Kab. Sleman
Rumah Second,1700.0,5,131,150,HGB,Tegalrejo,Kota Yogyakarta
Rumah Second,495.0,2,84,45,SHM,Sedayu,Kab. Bantul
Rumah Second,1100.0,2,115,50,SHM,Gamping,Kab. Sleman
Rumah Second,1100.0,2,142,60,SHM,Gamping,Kab. Sleman
Rumah Second,1500.0,3,168,130,SHM,Depok,Kab. Sleman
