date,type,price,loc,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi
Diperbarui 7 menit lalu,Rumah Second,"Rp2,9 M","Grogol Petamburan, Kota Jakarta Barat",2 KT,LT 82m²,LB 200m²,SHM
Diperbarui 8 menit lalu,Rumah Second,Rp675 Jt,"Pulogadung (Pulo Gadung), Kota Jakarta Timur",2 KT,LT 60m²,LB 60m²,SHM
Diperbarui 15 menit lalu,Rumah Second,"Rp2,5 M","Cakung, Kota Jakarta Timur",4 KT,LT 112m²,LB 160m²,HGB
Diperbarui 16 menit lalu,Rumah Second,"Rp2,9 M","Grogol Petamburan, Kota Jakarta Barat",3 KT,LT 82m²,LB 200m²,SHM
Diperbarui 18 menit lalu,Rumah Second,Rp22 M,"Kebayoran Lama, Kota Jakarta Selatan",4 KT,LT 413m²,LB 700m²,SHM
Diperbarui 20 menit lalu,Rumah Second,"Rp1,5 M","Kramatjati (Kramat Jati), Kota Jakarta Timur",2 KT,LT 62m²,LB 84m²,HGB
Diperbarui 20 menit lalu,Rumah Second,"Rp2,9 M","Cakung, Kota Jakarta Timur",3 KT,LT 98m²,LB 134m²,SHM
Diperbarui 21 menit lalu,Rumah Second,Rp475 Jt,"Jatinegara, Kota Jakarta Timur",3 KT,LT 60m²,LB 60m²,SHM
Diperbarui 23 menit lalu,Rumah Second,"Rp5,5 M","Cakung, Kota Jakarta Timur",6 KT,LT 336m²,LB 450m²,SHM
Diperbarui 24 menit lalu,Rumah Second,"Rp2,7 M","Kembangan, Kota Jakarta Barat",5 KT,LT 200m²,LB 210m²,SHM
Diperbarui 24 menit lalu,Rumah Second,Rp1 M,"Cakung, Kota Jakarta Timur",3 KT,LT 90m²,LB 70m²,SHM
Diperbarui 27 menit lalu,Rumah Second,Rp475 Jt,"Cipayung, Kota Jakarta Timur",3 KT,LT 60m²,LB 60m²,SHM
Diperbarui 27 menit lalu,Rumah Second,Rp12 M,"Cempaka Putih, Kota Jakarta Pusat",5 KT,LT 513m²,LB 271m²,SHM
Diperbarui 28 menit lalu,Rumah Second,"Rp17,5 M","Kebayoran Lama, Kota Jakarta Selatan",5 KT,LT 589m²,LB 444m²,SHM
Diperbarui 29 menit lalu,Rumah Second,"Rp2,5 M","Duren Sawit, Kota Jakarta Timur",4 KT,LT 110m²,LB 110m²,SHM
Diperbarui 30 menit lalu,Rumah Second,"Rp5,7 M","Penjaringan, Kota Jakarta Utara",4 KT,LT 195m²,LB 150m²,
Diperbarui 31 menit lalu,Rumah Second,"Rp1,7 M","Cengkareng, Kota Jakarta Barat",4 KT,LT 150m²,LB 120m²,SHM
