date,type,price,kamar_tidur,luas_tanah,luas_bangunan,sertifikasi,kecamatan,kota
2024-12-02,Rumah Second,2900.0,2,82,200,SHM,Grogol Petamburan,Kota Jakarta Barat
2024-12-02,Rumah Second,675.0,2,60,60,SHM,Pulogadung (Pulo Gadung),Kota Jakarta Timur
2024-12-02,Rumah Second,2500.0,4,112,160,HGB,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,2900.0,3,82,200,SHM,Grogol Petamburan,Kota Jakarta Barat
2024-12-02,Rumah Second,22000.0,4,413,700,SHM,Kebayoran Lama,Kota Jakarta Selatan
2024-12-02,Rumah Second,1500.0,2,62,84,HGB,Kramatjati (Kramat Jati),Kota Jakarta Timur
2024-12-02,Rumah Second,2900.0,3,98,134,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,475.0,3,60,60,SHM,Jatinegara,Kota Jakarta Timur
2024-12-02,Rumah Second,5500.0,6,336,450,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,2700.0,5,200,210,SHM,Kembangan,Kota Jakarta Barat
2024-12-02,Rumah Second,1000.0,3,90,70,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,475.0,3,60,60,SHM,Cipayung,Kota Jakarta Timur
2024-12-02,Rumah Second,12000.0,5,513,271,SHM,Cempaka Putih,Kota Jakarta Pusat
2024-12-02,Rumah Second,17500.0,5,589,444,SHM,Kebayoran Lama,Kota Jakarta Selatan
2024-12-02,Rumah Second,2500.0,4,110,110,SHM,Duren Sawit,Kota Jakarta Timur
2024-12-02,Rumah Second,1700.0,4,150,120,SHM,Cengkareng,Kota Jakarta Barat
2024-12-02,Rumah Second,3500.0,13,175,180,HGB,Menteng,Kota Jakarta Pusat
2024-12-02,Rumah Second,2700.0,5,200,210,SHM,Kembangan,Kota Jakarta Barat
2024-12-02,Rumah Second,5600.0,7,356,485,SHM,Kembangan,Kota Jakarta Barat
2024-12-02,Rumah Second,1800.0,3,90,80,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,3500.0,5,101,240,SHM,Pasar Minggu,Kota Jakarta Selatan
2024-12-02,Rumah Second,6000.0,5,367,180,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,3400.0,5,99,240,SHM,Pasar Minggu,Kota Jakarta Selatan
2024-12-02,Rumah Second,21000.0,5,372,387,SHM,Pesanggrahan,Kota Jakarta Selatan
2024-12-02,Rumah Second,6900.0,6,500,350,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,3600.0,5,255,220,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,3300.0,4,186,180,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,4200.0,3,278,156,HGB,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,1800.0,4,162,120,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,3600.0,6,195,190,SHM,Kebayoran Lama,Kota Jakarta Selatan
2024-12-02,Rumah Second,1600.0,4,145,290,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,2500.0,3,198,198,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,1600.0,3,160,125,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,1600.0,3,90,140,SHM,Duren Sawit,Kota Jakarta Timur
2024-12-02,Rumah Second,800.0,3,80,120,SHM,Ciracas,Kota Jakarta Timur
2024-12-02,Rumah Second,1400.0,3,104,104,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,1600.0,3,120,145,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,3600.0,4,255,220,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,2700.0,3,96,200,SHM,Tanjung Priok,Kota Jakarta Utara
2024-12-02,Rumah Second,3500.0,3,175,180,HGB,Menteng,Kota Jakarta Pusat
2024-12-02,Rumah Second,2700.0,4,160,240,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,450.0,2,60,40,SHM,Jagakarsa,Kota Jakarta Selatan
2024-12-02,Rumah Second,1700.0,3,90,75,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,2200.0,3,180,250,HGB,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,4500.0,4,308,250,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,5000.0,9,477,700,SHM,Kemayoran,Kota Jakarta Pusat
2024-12-02,Rumah Second,2700.0,4,180,180,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,1600.0,3,180,180,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,2800.0,4,170,127,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,2000.0,6,200,180,HGB,Tanjung Priok,Kota Jakarta Utara
2024-12-02,Rumah Second,25000.0,8,2567,850,SHM,Ciracas,Kota Jakarta Timur
2024-12-02,Rumah Second,2900.0,4,240,202,SHM,Cakung,Kota Jakarta Timur
2024-12-02,Rumah Second,3300.0,5,360,260,SHM,Cakung,Kota Jakarta Timur
